STATION,DATE,TEMP,PRCP,WIND,VISIBILITY,CEILING
USW00013874,2023-03-01,57.6,0.34,12.1,10.0,23432
USW00013874,2023-03-02,43.1,0.07,4.8,10.0,25598
USW00013874,2023-03-03,65.5,0.38,1.9,4.8,19007
USW00013874,2023-03-04,57.4,0.1,22.9,6.4,12701
USW00013874,2023-03-05,63.1,0.15,2.4,7.2,25922
USW00013874,2023-03-06,43.6,0.0,21.1,7.2,26935
USW00013874,2023-03-07,72.0,0.04,6.2,10.0,20922
USW00013874,2023-03-08,62.9,0.08,5.2,10.0,15814
USW00013874,2023-03-09,40.2,0.01,16.8,3.6,41780
USW00013874,2023-03-10,60.8,0.03,2.4,6.6,4251
USW00013874,2023-03-11,59.3,0.13,2.3,8.6,20724
USW00013874,2023-03-12,57.1,0.08,12.7,8.4,15872
USW00013874,2023-03-13,71.6,0.12,1.0,2.6,12853
USW00013874,2023-03-14,60.0,0.06,15.3,5.2,26643
USW00013874,2023-03-15,72.0,0.14,11.5,8.3,26222
USW00013874,2023-03-16,67.5,0.14,12.9,0.0,21312
USW00013874,2023-03-17,75.3,0.05,17.0,3.3,22625
USW00013874,2023-03-18,74.5,0.2,9.5,10.0,32680
USW00013874,2023-03-19,70.1,0.06,6.5,7.7,-543
USW00013874,2023-03-20,59.0,0.0,11.6,9.3,11770
USW00013874,2023-03-21,50.9,0.05,1.4,5.7,10832
USW00013874,2023-03-22,28.6,0.04,3.3,4.5,12935
USW00013874,2023-03-23,46.6,0.08,6.4,10.0,15034
USW00013874,2023-03-24,52.5,0.05,5.4,6.9,16278
USW00013874,2023-03-25,45.1,0.29,3.9,9.2,8062
USW00013874,2023-03-26,56.0,0.06,8.1,9.1,14330
USW00013874,2023-03-27,72.1,0.28,9.1,3.6,13462
USW00013874,2023-03-28,40.1,0.02,19.4,8.8,9142
USW00013874,2023-03-29,61.7,0.02,3.4,10.0,31952
USW00013874,2023-03-30,53.6,0.09,26.0,8.9,22036
USW00013874,2023-03-31,57.5,0.07,8.3,9.3,19123
USW00013874,2023-04-01,57.9,0.01,12.5,5.8,18318
USW00013874,2023-04-02,70.3,0.06,6.5,7.6,25601
USW00013874,2023-04-03,46.0,0.23,11.2,6.4,22323
USW00013874,2023-04-04,52.5,0.42,6.8,9.5,19785
USW00013874,2023-04-05,71.0,0.11,6.0,9.3,12994
USW00013874,2023-04-06,58.3,0.03,6.9,10.0,7783
USW00013874,2023-04-07,65.2,0.06,12.2,9.0,5030
USW00013874,2023-04-08,56.7,0.04,8.6,10.0,37772
USW00013874,2023-04-09,65.9,0.21,11.2,5.8,13094
USW00013874,2023-04-10,56.4,0.03,1.1,10.0,19970
USW00013874,2023-04-11,30.6,0.06,17.8,4.7,15101
USW00013874,2023-04-12,53.8,0.05,8.0,5.7,38795
USW00013874,2023-04-13,56.4,0.06,15.6,9.3,20639
USW00013874,2023-04-14,46.9,0.0,8.0,9.5,25441
USW00013874,2023-04-15,74.4,0.05,10.3,7.7,28112
USW00013874,2023-04-16,61.2,0.17,8.7,6.8,4526
USW00013874,2023-04-17,65.4,0.01,0.7,2.9,17854
USW00013874,2023-04-18,63.2,0.04,5.9,10.0,19403
USW00013874,2023-04-19,54.8,0.32,10.8,4.3,12002
USW00013874,2023-04-20,71.4,0.09,5.3,3.8,10844
USW00013874,2023-04-21,61.0,0.01,8.6,8.0,10654
USW00013874,2023-04-22,61.7,0.2,17.6,9.0,42199
USW00013874,2023-04-23,44.6,0.15,6.3,9.6,22849
USW00013874,2023-04-24,69.1,0.1,8.9,10.0,10590
USW00013874,2023-04-25,64.5,0.08,17.3,6.4,29221
USW00013874,2023-04-26,74.9,0.22,14.4,7.2,11208
USW00013874,2023-04-27,67.5,0.26,16.6,10.0,32422
USW00013874,2023-04-28,62.6,0.13,4.0,8.0,2253
USW00013874,2023-04-29,28.2,0.07,10.0,4.9,6924
USW00013874,2023-04-30,69.4,0.07,11.0,9.7,9731
USW00013874,2023-05-01,61.9,0.17,4.1,7.5,14889
USW00013874,2023-05-02,69.2,0.25,1.7,10.0,41186
USW00013874,2023-05-03,70.1,0.02,0.8,7.4,7637
USW00013874,2023-05-04,45.8,0.06,25.7,10.0,9709
USW00013874,2023-05-05,62.5,0.02,8.1,9.8,34508
USW00013874,2023-05-06,80.2,0.4,12.3,8.7,13776
USW00013874,2023-05-07,77.4,0.08,7.8,10.0,37
USW00013874,2023-05-08,54.3,0.02,20.6,7.2,23175
USW00013874,2023-05-09,80.4,0.02,20.4,5.6,20588
USW00013874,2023-05-10,69.9,0.01,43.2,10.0,42965
USW00013874,2023-05-11,60.3,0.38,10.5,5.4,18799
USW00013874,2023-05-12,56.1,0.01,5.8,8.4,22170
USW00013874,2023-05-13,77.0,0.02,9.4,9.4,22431
USW00013874,2023-05-14,58.3,0.15,16.6,8.2,32593
USW00013874,2023-05-15,50.6,0.2,16.9,5.5,25390
USW00013874,2023-05-16,39.3,0.01,15.4,5.7,39972
USW00013874,2023-05-17,75.3,0.05,6.5,7.3,33136
USW00013874,2023-05-18,59.3,0.18,6.5,7.4,30347
USW00013874,2023-05-19,67.3,0.06,6.4,4.2,13063
USW00013874,2023-05-20,56.3,0.16,2.6,6.0,20759
USW00013874,2023-05-21,61.6,0.15,6.7,9.8,10131
USW00013874,2023-05-22,57.5,0.17,11.2,8.4,28050
USW00013874,2023-05-23,55.8,0.2,14.0,8.3,9513
USW00013874,2023-05-24,69.2,0.2,6.3,10.0,40734
USW00013874,2023-05-25,43.2,0.03,0.9,8.2,34981
USW00013874,2023-05-26,94.2,0.05,13.7,7.9,25570
USW00013874,2023-05-27,57.3,0.06,22.2,2.0,19252
USW00013874,2023-05-28,50.7,0.01,3.7,5.0,7198
USW00013874,2023-05-29,51.6,0.06,12.3,10.0,22071
USW00013874,2023-05-30,51.5,0.28,18.9,7.2,19852
USW00013874,2023-05-31,67.5,0.09,5.5,8.4,30848
USW00023174,2023-03-01,71.4,0.02,7.7,5.7,20301
USW00023174,2023-03-02,68.7,0.22,13.0,10.0,5446
USW00023174,2023-03-03,61.2,0.13,2.2,10.0,21767
USW00023174,2023-03-04,55.6,0.01,3.0,8.6,24227
USW00023174,2023-03-05,46.7,0.0,10.8,7.6,13283
USW00023174,2023-03-06,63.9,0.03,2.3,7.8,24773
USW00023174,2023-03-07,50.6,0.06,7.5,5.9,16263
USW00023174,2023-03-08,56.1,0.16,10.3,6.7,12412
USW00023174,2023-03-09,52.3,0.08,2.7,10.0,33530
USW00023174,2023-03-10,60.6,0.1,1.8,4.3,9885
USW00023174,2023-03-11,52.3,0.16,1.4,7.6,6641
USW00023174,2023-03-12,66.8,0.09,10.6,6.9,21376
USW00023174,2023-03-13,67.4,0.09,4.0,10.0,10274
USW00023174,2023-03-14,41.5,0.09,24.8,10.0,22348
USW00023174,2023-03-15,57.3,0.34,11.6,8.7,8923
USW00023174,2023-03-16,58.0,0.16,5.6,8.7,21260
USW00023174,2023-03-17,58.0,0.04,3.3,4.5,25203
USW00023174,2023-03-18,61.9,0.11,10.1,7.2,22042
USW00023174,2023-03-19,79.6,0.29,4.4,6.9,24780
