STATION,DATE,TEMP,PRCP,WIND,VISIBILITY,CEILING
USW00013874,2023-09-01,52.0,0.34,12.1,10.0,23432
USW00013874,2023-09-02,33.9,0.07,4.8,10.0,25598
USW00013874,2023-09-03,61.9,0.38,1.9,4.8,19007
USW00013874,2023-09-04,51.7,0.1,22.9,6.4,12701
USW00013874,2023-09-05,58.9,0.15,2.4,7.2,25922
USW00013874,2023-09-06,34.5,0.0,21.1,7.2,26935
USW00013874,2023-09-07,70.0,0.04,6.2,10.0,20922
USW00013874,2023-09-08,58.6,0.08,5.2,10.0,15814
USW00013874,2023-09-09,30.2,0.01,16.8,3.6,41780
USW00013874,2023-09-10,56.0,0.03,2.4,6.6,4251
USW00013874,2023-09-11,54.1,0.13,2.3,8.6,20724
USW00013874,2023-09-12,51.4,0.08,12.7,8.4,15872
USW00013874,2023-09-13,69.5,0.12,1.0,2.6,12853
USW00013874,2023-09-14,55.1,0.06,15.3,5.2,26643
USW00013874,2023-09-15,70.0,0.14,11.5,8.3,26222
USW00013874,2023-09-16,64.4,0.14,12.9,0.0,21312
USW00013874,2023-09-17,74.1,0.05,17.0,3.3,22625
USW00013874,2023-09-18,73.1,0.2,9.5,10.0,32680
USW00013874,2023-09-19,67.6,0.06,6.5,7.7,-543
USW00013874,2023-09-20,53.8,0.0,11.6,9.3,11770
USW00013874,2023-09-21,43.6,0.05,1.4,5.7,10832
USW00013874,2023-09-22,15.7,0.04,3.3,4.5,12935
USW00013874,2023-09-23,38.3,0.08,6.4,10.0,15034
USW00013874,2023-09-24,45.6,0.05,5.4,6.9,16278
USW00013874,2023-09-25,36.3,0.29,3.9,9.2,8062
USW00013874,2023-09-26,50.0,0.06,8.1,9.1,14330
USW00013874,2023-09-27,70.1,0.28,9.1,3.6,13462
USW00013874,2023-09-28,30.2,0.02,19.4,8.8,9142
USW00013874,2023-09-29,57.1,0.02,3.4,10.0,31952
USW00013874,2023-09-30,47.0,0.09,26.0,8.9,22036
USW00013874,2023-10-01,51.9,0.07,8.3,9.3,19123
USW00013874,2023-10-02,52.4,0.01,12.5,5.8,18318
USW00013874,2023-10-03,67.9,0.06,6.5,7.6,25601
USW00013874,2023-10-04,37.5,0.23,11.2,6.4,22323
USW00013874,2023-10-05,45.6,0.42,6.8,9.5,19785
USW00013874,2023-10-06,68.7,0.11,6.0,9.3,12994
USW00013874,2023-10-07,52.9,0.03,6.9,10.0,7783
USW00013874,2023-10-08,61.6,0.06,12.2,9.0,5030
USW00013874,2023-10-09,50.8,0.04,8.6,10.0,37772
USW00013874,2023-10-10,62.3,0.21,11.2,5.8,13094
USW00013874,2023-10-11,50.5,0.03,1.1,10.0,19970
USW00013874,2023-10-12,18.2,0.06,17.8,4.7,15101
USW00013874,2023-10-13,47.2,0.05,8.0,5.7,38795
USW00013874,2023-10-14,50.5,0.06,15.6,9.3,20639
USW00013874,2023-10-15,38.6,0.0,8.0,9.5,25441
USW00013874,2023-10-16,72.9,0.05,10.3,7.7,28112
USW00013874,2023-10-17,56.6,0.17,8.7,6.8,4526
USW00013874,2023-10-18,61.7,0.01,0.7,2.9,17854
USW00013874,2023-10-19,58.9,0.04,5.9,10.0,19403
USW00013874,2023-10-20,48.4,0.32,10.8,4.3,12002
USW00013874,2023-10-21,69.2,0.09,5.3,3.8,10844
USW00013874,2023-10-22,56.2,0.01,8.6,8.0,10654
USW00013874,2023-10-23,57.1,0.2,17.6,9.0,42199
USW00013874,2023-10-24,35.8,0.15,6.3,9.6,22849
USW00013874,2023-10-25,66.3,0.1,8.9,10.0,10590
USW00013874,2023-10-26,60.7,0.08,17.3,6.4,29221
USW00013874,2023-10-27,73.6,0.22,14.4,7.2,11208
USW00013874,2023-10-28,64.4,0.26,16.6,10.0,32422
USW00013874,2023-10-29,58.3,0.13,4.0,8.0,2253
USW00013874,2023-10-30,15.2,0.07,10.0,4.9,6924
USW00013874,2023-10-31,66.7,0.07,11.0,9.7,9731
USW00013874,2023-11-01,57.3,0.17,4.1,7.5,14889
USW00013874,2023-11-02,66.5,0.25,1.7,10.0,41186
USW00013874,2023-11-03,67.6,0.02,0.8,7.4,7637
USW00013874,2023-11-04,37.2,0.06,25.7,10.0,9709
USW00013874,2023-11-05,58.1,0.02,8.1,9.8,34508
USW00013874,2023-11-06,80.3,0.4,12.3,8.7,13776
USW00013874,2023-11-07,76.7,0.08,7.8,10.0,37
USW00013874,2023-11-08,47.8,0.02,20.6,7.2,23175
USW00013874,2023-11-09,80.5,0.02,20.4,5.6,20588
USW00013874,2023-11-10,67.4,0.01,43.2,10.0,42965
USW00013874,2023-11-11,55.4,0.38,10.5,5.4,18799
USW00013874,2023-11-12,50.2,0.01,5.8,8.4,22170
USW00013874,2023-11-13,76.3,0.02,9.4,9.4,22431
USW00013874,2023-11-14,52.9,0.15,16.6,8.2,32593
USW00013874,2023-11-15,43.3,0.2,16.9,5.5,25390
USW00013874,2023-11-16,29.1,0.01,15.4,5.7,39972
USW00013874,2023-11-17,74.1,0.05,6.5,7.3,33136
USW00013874,2023-11-18,54.1,0.18,6.5,7.4,30347
USW00013874,2023-11-19,64.1,0.06,6.4,4.2,13063
USW00013874,2023-11-20,50.3,0.16,2.6,6.0,20759
USW00013874,2023-11-21,57.0,0.15,6.7,9.8,10131
USW00013874,2023-11-22,51.9,0.17,11.2,8.4,28050
USW00013874,2023-11-23,49.7,0.2,14.0,8.3,9513
USW00013874,2023-11-24,66.5,0.2,6.3,10.0,40734
USW00013874,2023-11-25,34.1,0.03,0.9,8.2,34981
USW00013874,2023-11-26,97.8,0.05,13.7,7.9,25570
USW00013874,2023-11-27,51.6,0.06,22.2,2.0,19252
USW00013874,2023-11-28,43.4,0.01,3.7,5.0,7198
USW00013874,2023-11-29,44.6,0.06,12.3,10.0,22071
USW00013874,2023-11-30,44.4,0.28,18.9,7.2,19852
