STATION,DATE,TEMP,PRCP,WIND,VISIBILITY,CEILING
USW00013874,2023-06-01,78.0,0.40800000000000003,12.1,10.0,23432
USW00013874,2023-06-02,65.9,0.084,4.8,10.0,25598
USW00013874,2023-06-03,84.6,0.45599999999999996,1.9,4.8,19007
USW00013874,2023-06-04,77.8,0.12,22.9,6.4,12701
USW00013874,2023-06-05,82.6,0.18,2.4,7.2,25922
USW00013874,2023-06-06,66.4,0.0,21.1,7.2,26935
USW00013874,2023-06-07,90.0,0.048,6.2,10.0,20922
USW00013874,2023-06-08,82.4,0.096,5.2,10.0,15814
USW00013874,2023-06-09,63.5,0.012,16.8,3.6,41780
USW00013874,2023-06-10,80.6,0.036,2.4,6.6,4251
USW00013874,2023-06-11,79.4,0.156,2.3,8.6,20724
USW00013874,2023-06-12,77.6,0.096,12.7,8.4,15872
USW00013874,2023-06-13,89.7,0.144,1.0,2.6,12853
USW00013874,2023-06-14,80.0,0.072,15.3,5.2,26643
USW00013874,2023-06-15,90.0,0.168,11.5,8.3,26222
USW00013874,2023-06-16,86.2,0.168,12.9,0.0,21312
USW00013874,2023-06-17,92.8,0.06,17.0,3.3,22625
USW00013874,2023-06-18,92.1,0.24,9.5,10.0,32680
USW00013874,2023-06-19,88.4,0.072,6.5,7.7,-543
USW00013874,2023-06-20,79.2,0.0,11.6,9.3,11770
USW00013874,2023-06-21,72.4,0.06,1.4,5.7,10832
USW00013874,2023-06-22,53.8,0.048,3.3,4.5,12935
USW00013874,2023-06-23,68.9,0.096,6.4,10.0,15034
USW00013874,2023-06-24,73.8,0.06,5.4,6.9,16278
USW00013874,2023-06-25,67.5,0.348,3.9,9.2,8062
USW00013874,2023-06-26,76.7,0.072,8.1,9.1,14330
USW00013874,2023-06-27,90.1,0.336,9.1,3.6,13462
USW00013874,2023-06-28,63.4,0.024,19.4,8.8,9142
USW00013874,2023-06-29,81.4,0.024,3.4,10.0,31952
USW00013874,2023-06-30,74.7,0.108,26.0,8.9,22036
USW00013874,2023-07-01,77.9,0.084,8.3,9.3,19123
USW00013874,2023-07-02,78.3,0.012,12.5,5.8,18318
USW00013874,2023-07-03,88.6,0.072,6.5,7.6,25601
USW00013874,2023-07-04,68.3,0.276,11.2,6.4,22323
USW00013874,2023-07-05,73.7,0.504,6.8,9.5,19785
USW00013874,2023-07-06,89.1,0.132,6.0,9.3,12994
USW00013874,2023-07-07,78.6,0.036,6.9,10.0,7783
USW00013874,2023-07-08,84.4,0.072,12.2,9.0,5030
USW00013874,2023-07-09,77.2,0.048,8.6,10.0,37772
