FlightDate,Reporting_Airline,Origin,Dest,CRSDepTime,CRSArrTime,DepDelay,ArrDelay,Cancelled,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay,Distance
2024-01-01,B6,SEA,MCO,1544,1807,30.1,25.0,0,0,81.0,27.0,0.0,0.0,0.0,990
2024-01-01,B6,BOS,MIA,1623,1914,0.0,6.3,0,0,0.0,0.0,0.0,0.0,0.0,309
2024-01-01,AS,SFO,LAX,0840,1107,0.0,-0.6,0,0,0.0,0.0,0.0,0.0,0.0,1345
2024-01-01,DL,BOS,SFO,1944,2123,0.0,-18.8,0,0,0.0,0.0,0.0,0.0,0.0,1087
2024-01-01,HA,JFK,CLT,1244,1440,5.3,-2.9,0,0,0.0,0.0,0.0,0.0,0.0,857
2024-01-01,AS,MIA,LAS,1903,2110,0.0,-5.8,0,0,0.0,0.0,0.0,0.0,0.0,737
2024-01-01,B6,MCO,DEN,1407,1545,0.0,0.2,0,0,0.0,0.0,0.0,0.0,0.0,549
2024-01-01,AA,MIA,IAH,1429,1620,0.0,10.7,0,0,0.0,0.0,0.0,0.0,0.0,569
2024-01-01,UA,CLT,LAX,1653,1921,0.0,10.5,0,0,0.0,0.0,0.0,0.0,0.0,1311
2024-01-01,AS,LAX,DEN,0703,0828,11.7,12.1,0,0,0.0,0.0,0.0,0.0,0.0,946
2024-01-01,DL,DFW,LAS,1148,1410,0.0,-0.2,0,0,0.0,0.0,0.0,0.0,0.0,659
2024-01-01,B6,PHX,SFO,2153,0032,0.0,-6.7,0,0,0.0,0.0,0.0,0.0,0.0,726
2024-01-01,G4,BOS,MCO,1845,2009,0.0,-18.5,0,0,0.0,0.0,0.0,0.0,0.0,727
2024-01-01,HA,BOS,ATL,1736,1915,2.2,-2.9,1,0,,,,,,900
2024-01-01,UA,JFK,DFW,1202,1415,0.0,22.3,0,0,0.0,0.0,0.0,0.0,0.0,315
2024-01-01,DL,IAH,SEA,1204,1335,0.0,-0.1,0,0,0.0,0.0,0.0,0.0,0.0,774
2024-01-01,B6,LAX,LAS,1625,1827,0.0,12.7,0,0,0.0,0.0,0.0,0.0,0.0,1117
2024-01-01,HA,ORD,LAX,0849,1012,0.0,-8.3,0,0,0.0,0.0,0.0,0.0,0.0,1276
2024-01-01,AA,LAS,JFK,1411,1549,0.0,12.8,0,0,0.0,0.0,0.0,0.0,0.0,810
2024-01-01,NK,PHX,CLT,0738,0902,0.0,-4.2,0,0,0.0,0.0,0.0,0.0,0.0,439
2024-01-01,WN,SEA,SFO,2159,2328,0.0,-1.5,0,0,0.0,0.0,0.0,0.0,0.0,1021
2024-01-01,HA,DFW,LAS,0747,1017,0.0,8.6,0,0,0.0,0.0,0.0,0.0,0.0,745
2024-01-01,UA,MCO,DFW,2010,2201,0.0,0.1,0,0,0.0,0.0,0.0,0.0,0.0,410
2024-01-01,DL,DFW,MIA,0915,1021,0.0,9.5,0,1,,,,,,1161
2024-01-01,G4,BOS,ATL,1217,1352,0.0,-4.3,0,0,0.0,0.0,0.0,0.0,0.0,788
2024-01-01,WN,PHX,LAS,1437,1643,0.0,-2.5,0,0,0.0,0.0,0.0,0.0,0.0,1384
2024-01-01,G4,MIA,ORD,0959,1119,3.6,-3.9,0,0,0.0,0.0,0.0,0.0,0.0,1007
2024-01-01,G4,BOS,JFK,1334,1525,15.4,4.6,0,0,9.0,0.0,0.0,0.0,47.0,894
2024-01-01,F9,MCO,IAH,1708,1939,0.0,9.7,0,0,0.0,0.0,0.0,0.0,0.0,769
2024-01-01,HA,BOS,SFO,1306,1601,0.0,-10.3,0,0,0.0,0.0,0.0,0.0,0.0,920
2024-01-01,AA,DEN,LAS,2151,0025,6.9,6.0,0,0,0.0,0.0,0.0,0.0,0.0,816
2024-01-01,NK,DEN,JFK,1010,1149,0.0,-14.3,0,0,0.0,0.0,0.0,0.0,0.0,491
2024-01-01,B6,ORD,CLT,0647,0843,0.0,-2.8,0,0,0.0,0.0,0.0,0.0,0.0,1334
2024-01-01,NK,MCO,SFO,1622,1846,0.0,0.5,0,0,0.0,0.0,0.0,0.0,0.0,715
2024-01-01,F9,DEN,DFW,1035,1233,42.9,36.6,0,0,0.0,0.0,0.0,0.0,0.0,787
2024-01-01,AS,DFW,PHX,1817,2012,0.0,-13.5,0,0,0.0,0.0,0.0,0.0,0.0,966
2024-01-01,F9,PHX,SEA,1738,1857,0.0,-18.9,0,0,0.0,0.0,0.0,0.0,0.0,896
2024-01-01,AS,BOS,SEA,1954,2154,0.7,-10.4,0,0,0.0,0.0,0.0,0.0,0.0,902
2024-01-01,HA,SFO,IAH,0807,1033,0.0,-19.7,0,0,0.0,0.0,0.0,0.0,0.0,870
2024-01-01,B6,JFK,SFO,1703,1931,0.0,-2.2,0,0,0.0,0.0,0.0,0.0,0.0,423
2024-01-01,UA,DFW,ATL,0630,0829,0.0,-2.3,0,0,0.0,0.0,0.0,0.0,0.0,843
2024-01-01,B6,MIA,DEN,1545,1819,0.0,2.6,0,0,0.0,0.0,0.0,0.0,0.0,1142
2024-01-01,HA,DFW,MCO,0743,1034,0.0,7.1,0,0,0.0,0.0,0.0,0.0,0.0,973
2024-01-01,NK,DEN,LAX,1828,2051,0.0,-5.3,0,0,0.0,0.0,0.0,0.0,0.0,830
2024-01-01,AS,MCO,DEN,1909,2045,0.0,-0.8,0,0,0.0,0.0,0.0,0.0,0.0,782
2024-01-01,AS,JFK,MCO,1648,1835,40.1,46.5,0,0,0.0,0.0,6.0,0.0,0.0,297
2024-01-01,UA,MIA,PHX,0754,0951,0.0,9.5,0,0,0.0,0.0,0.0,0.0,0.0,913
2024-01-01,G4,DEN,CLT,0620,0818,30.3,14.9,0,0,28.0,0.0,34.0,0.0,0.0,440
2024-01-01,B6,MIA,SFO,2011,2217,1.4,4.1,0,0,0.0,0.0,0.0,0.0,0.0,1123
2024-01-01,F9,ORD,MIA,1243,1520,0.0,5.5,0,0,0.0,0.0,0.0,0.0,0.0,1120
2024-01-01,AA,BOS,MCO,2015,2208,0.0,17.5,0,0,0.0,0.0,0.0,0.0,0.0,356
2024-01-01,UA,CLT,SFO,2107,2226,1.0,15.9,0,0,0.0,0.0,0.0,0.0,0.0,844
2024-01-01,UA,SFO,LAS,0707,0911,13.7,40.8,0,0,0.0,0.0,0.0,0.0,0.0,687
